id	author	quote
4369	Billy Eckstine	As a matter of fact they'd blacken us down. I guess there's a reason that according to what the Caucasian wanted us to look like. He wanted us to look-if we were Black, then he had his idea of what we look like.
4370	Billy Eckstine	I was still in school at the time and Cab was very popular and everybody was doing Cab Calloway so I did.
4371	Billy Eckstine	I'm a firm believer and I think my religion is inside.
4372	Billy Eckstine	It taught me something. It taught you your craft.
4373	Billy Eckstine	When Byrd came out of there, he had written a lot things while he was in the hospital.
4374	Billy Eckstine	Bud Johnson, God rest his soul of fame, a tenor saxophonist. Bud was always a big, big, big booster of mine and he always when I first met Bud in Pittsburgh when he came through there, he heard me sing and he wanted me to come to Chicago.
4375	Billy Eckstine	I just went to Harvard a little while, because I graduated from Armstrong High School in Washington and then I went up there but I didn't stay that long because I went into show business.
4376	Billy Eckstine	I think a song that's got something to say. I'm not much on gimmicks. I never have been because they don't last. But I like a song that tells a story and has some meat to it, you know, that means something.
4377	Billy Eckstine	I was so enamored with the idea of being in show business so everything was bright to me. I mean, I didn't think of it as being tough and things like that.
4378	Billy Eckstine	It was my band. I organized the band and Dizzy was in the band. Dizzy was the first musical director with the band. Charlie Parker was in the band. But, no, no, that was my band.
4379	Billy Eckstine	My youngest daughter sings. She's going to be very good. She's graduated from Music School and she's been working down around and getting her feet wet, you know. I had her out with me for a year just showing her the ropes a little bit, but she's going to be all right.
4380	Billy Eckstine	Today the kids that are out now they make a hit record and they put them right out on the stage with 10,000 people out there and they don't know anything about the business yet.
4381	Billy Eckstine	When you're playing music, say for instance, you're playing a part of the band and you're looking at your music, your horn is down into the stand. This way, it's up and it goes right on out to the audience, you know?
4382	Billy Eckstine	You know, times change and the elements change along with it. The elements of success. And my son's very successful. He's doing very well. And I have a younger daughter who sings.
4651	Bob Balaban	I'm from the Midwest, and I loved my family. I had a very good time as a child, but I was also - I have a theory about Jews growing up in the Midwest, that there is an ultimately sort of wonderful avoidance of a lot of things, and a great acceptance of whatever is happening.
4652	Bob Balaban	People so far have been very fond of the Robert Altman movie, as I am, and when one things goes well it shines light on your other projects and now I seem to have a number of projects that are moving forward.
4653	Bob Balaban	God, I'd love to do a big commercial movie that made a lot of money and whose plot was interesting too.
4654	Bob Balaban	I was born on Wellington Avenue and my family that remains lives in the Lake Shore Drive area.
4655	Bob Balaban	If anyone would have been paying serious attention to my puppet shows, I would have been sent to therapy very young.
4656	Bob Balaban	I mean, the whole idea of movies was it was special to go to see - you went to a movie theater to see something that was magical and amazing, in a very special location.
4657	Bob Balaban	I have a 92 year old father whose doing beautifully who lives in Chicago and a sister and a nephew and a niece and I love coming back and try to do so fairly often.
4658	Bob Balaban	I think some of the special effects in Close Encounters hold up better than the new more expensive special effects is because they were better actually.
4659	Bob Balaban	My family was loving... they were very supportive and very affectionate, and basically I could do what I wanted, and basically it wasn't anything dangerous, thank God.
4660	Bob Balaban	I always think that a director who knows about the technical side, but cares about the acting performances and casting as well, is ahead of the game.
4661	Bob Balaban	I loved being in Close Encounters, just to watch Steven Spielberg working was exciting.
4662	Bob Balaban	Yes I try to do everything I can not to fail hideously.
4663	Bob Balaban	And I think being a good director is being able to be completely tyrannical and you?ve got to be an absolute dictator while at the same time, you have to listen and see everything because it can all change on a dime.
4664	Bob Balaban	But obviously as television began, it so undercut movies that he was trying to think of a way to combine seeing these special things, and the fact that people were just captivated by the magic box.
4665	Bob Balaban	I'm from Chicago, my family started a chain of movie theaters in Chicago that were around for 70 years and then one of them became the head of Paramount and the other was the head of production at MGM and we all came out of Chicago.
4666	Bob Balaban	I produced and directed a movie a couple years ago that won some awards that Samuel Goldwyn released called 'The Last Good Time'. I wrote, produced and directed it, but I wasn't in it.
4667	Bob Balaban	I was very much in my room with my marionette stage, you know, creating these incredibly boring things that I felt were so fascinating, and forcing my relatives to come, and charging money for them to see my little productions.
4668	Bob Balaban	I've directed a fair amount of television series - so I'm always trying to learn new things. One episode was all hand-held and I'm trying to get better at when you should do things and when you should just shut up and watch what the people are saying.
4669	Bob Balaban	Maybe I was 7 - I probably am exaggerating a little - and immediately was plunged into the fact that there was an official place to put your fantasies. Up until then I didn't know what I would do with them all. It was very exciting for me, and I began very, very early on.
4670	Bob Balaban	My dad was born in Chicago in 1908... his parents came from Russia. They settled in Chicago, where they lived in a little tiny grocery store with eight or nine children - in the backroom all together - and my grandmother got the idea to go into the movie business.
4671	Bob Balaban	My dad was the baby. When he was born they were already successful. They sent him to business school - he probably would have loved to have been a poet or a writer or something, and he was very creative.
4672	Bob Balaban	Oh, I was completely hooked on movies and plays and theater from the time I was a day old - I was very, very early on in love with movies and I loved plays.
5483	Bryan Callen	I guess I am attracted to older women. I'm looking for a 40-something who has had her heart broken two or three hundred times. She's going to be fun!
5484	Bryan Callen	Some comics really thrive on being disrespectful, especially toward women, and it's somehow understood as edgy, but I'm the opposite. I've never liked curse words for that reason.
