id	author	quote
30415	Pope Paul VI	All life demands struggle. Those who have everything given to them become lazy, selfish, and insensitive to the real values of life. The very striving and hard work that we so constantly try to avoid is the major building block in the person we are today.
30416	Pope Paul VI	Somebody should tell us, right at the start of our lives, that we are dying. Then we might live life to the limit, every minute of every day. Do it! I say. Whatever you want to do, do it now! There are only so many tomorrows.
30417	Pope Paul VI	Nothing makes one feel so strong as a call for help.
30418	Pope Paul VI	Never reach out your hand unless you're willing to extend an arm.
30419	Pope Paul VI	Of all human activities, man's listening to God is the supreme act of his reasoning and will.
30420	Pope Paul VI	Technological society has succeeded in multiplying the opportunities for pleasure, but it has great difficulty in generating joy.
30421	Pope Paul VI	Liturgy is like a strong tree whose beauty is derived from the continuous renewal of its leaves, but whose strength comes from the old trunk, with solid roots in the ground.
30422	Pope Paul VI	We consider Christmas as the encounter, the great encounter, the historical encounter, the decisive encounter, between God and mankind. He who has faith knows this truly; let him rejoice.
30423	Pope Paul VI	In youth the days are short and the years are long. In old age the years are short and day's long.
30424	Pope Paul VI	A dimple on the chin, the devil within.
30425	Pope Paul VI	The work of art, just like any fragment of human life considered in its deepest meaning, seems to me devoid of value if it does not offer the hardness, the rigidity, the regularity, the luster on every interior and exterior facet, of the crystal.
30426	Pope Paul VI	If you want peace work for justice.
30427	Pope Paul VI	You must strive to multiply bread so that it suffices for the tables of mankind, and not rather favor an artificial control of birth, which would be irrational, in order to diminish the number of guests at the banquet of life.
30428	Pope Paul VI	Every mother is like Moses. She does not enter the promised land. She prepares a world she will not see.
30429	Pope Paul VI	Failing to be there when a man wants her is a woman's greatest sin, except to be there when he doesn't want her.
30430	Pope Paul VI	Physics does not change the nature of the world it studies, and no science of behavior can change the essential nature of man, even though both sciences yield technologies with a vast power to manipulate the subject matters.
30431	Pope Paul VI	Are there memories left that are safe from the clutches of phony anniversaries?
30432	Pope Paul VI	Think how many blameless lives are brightened by the blazing indiscretions of other people.
30433	Pope Paul VI	The Eucharistic mystery stands at the heart and center of the liturgy since it is the fount of life by which we are cleansed and strengthened to live not for ourselves but for God and to be united in love among ourselves.
30434	Pope Paul VI	No more war! Never again war! If you wish to be brothers, drop your weapons.
30435	Pope Paul VI	Anger is as a stone cast into a wasp's nest.
30436	Pope Paul VI	Never give advice in a crowd.
30437	Pope Paul VI	I met a hundred men going to Delhi and everyone is my brother.
30438	Pope Paul VI	The older the fiddler, the sweeter the tune.
31258	Richard Hammond	It's not just the kid who's spent every penny from his job to upgrade his car to tell the world he cares about sports cars, it's also the person driving around in a fuel-conscious hybrid electric car, because it's more a message to the world than an effective means of saving fuel, to be quite honest.
31259	Richard Hammond	I like to think that my arrogance, impetuosity, impatience, selfishness and greed are the qualities that make me the lovable chap I am.
31260	Richard Hammond	No action hero is more closely associated with cars than James Bond.
31261	Richard Hammond	Failing my driving test first time; that was a disappointment on a geological scale.
31262	Richard Hammond	And I like pygmy goats, because they're just lovely, and ducks.
31263	Richard Hammond	I had post-traumatic amnesia, five-second memory, it happens as a result of brain injury.
31264	Richard Hammond	I damaged all the complicated bits of the brain to do with processing and emotional control. I was prey to every single emotion that swept over me and I couldn't deal with it. I had to re-learn things from scratch.
31265	Richard Hammond	At home I drive an old Land Rover.
31266	Richard Hammond	My first car was a 1976 Toyota Corolla Liftback in red, like the one in 'The Blues Brothers.' I painted a Union Jack on the roof. I was absolutely in love with it until I destroyed it, which broke my heart!
31267	Richard Hammond	My grandfather on one side was trained as a cabinetmaker but eventually worked as a coachbuilder and then built cars. I inherited from him a love of cars, but with no technical ability whatsoever, sadly!
31268	Richard Hammond	I mostly drive around in a Fiat 500 TwinAir, and that's a pretty small car!
31269	Richard Hammond	For somebody who has injured their brain, every single thing they say and think will be the subject of their own questioning.
31270	Richard Hammond	I don't particularly want to smear myself into a hillside.
31271	Richard Hammond	I think a basic level of fitness can help the body cope with all manner of incidents.
31272	Richard Hammond	I'm not reckless. I was never reckless.
31273	Richard Hammond	I've been in a car three or four times when it filled with water and it's not a comfortable feeling.
31274	Richard Hammond	Now, personally, I like a car with some sort of character.
31275	Richard Hammond	The easiest and simplest thing that any one can do to make their car safer, more gas efficient, whatever - check the tire pressure.
31276	Richard Hammond	I run a lot. I have this five-mile run that I try and do a few times a week. If I do more, I get shin splints and it drives me mad, so I have to balance it.
31277	Richard Hammond	With the case of running, it really is a case of get out, set yourself a distance, run it, and then do it again the next day. It's tremendously simple.
31278	Richard Hammond	Forty is brilliant and I love it. I'm happier now than when I was 20.
31279	Richard Hammond	I would love to act. I probably won't make it to Hollywood at 42 years of age, but I'd love to act.
31280	Richard Hammond	I'm a presenter.
31281	Richard Hammond	If I can be cruel; I'm not a big fan of the Audi R8, actually.
32893	Sam Abell	'Woman on the Plaza,' with its distinct horizon, snow-like surfaces, wintry wall, stunning sunlight, sharp shadows, and hurrying figure, would become the most biographical of my photographs - an abstract image of the landscape and life of northern Ohio where I grew up and first practiced photography.
