id	author	quote
29256	Patch Adams	Unlike a lot of people, I don't feel powerless. I know I can do something. But anyone can do something, it's not about being special. It's about deciding to do it - to dive into work for peace and justice and care for everybody on the planet.
29257	Patch Adams	Clowning is a trick to get love close. I can hug 99 percent of people in the first second of contact if I'm in my clown character. The clown assumes your humanity. It assumes that, whatever trauma you've had, you can still love yourself.
29258	Patch Adams	Humor is an antidote to all ills.
29259	Patch Adams	Everyone who goes to a job he doesn't like is a lot weirder than I am.
29260	Patch Adams	At the age of 18, I made up my mind to never have another bad day in my life. I dove into a endless sea of gratitude from which I've never emerged.
29261	Patch Adams	If we don't change from a world society that worships money and power to one that worships compassion and generosity, I think we'll be extinct by mid-century. I don't say that as an alarmist or as a pessimist.
29262	Patch Adams	I've never made a penny being a doctor, so that makes it not a job. My sense of a doctor is that one is a presence caring for health. So I'm never not a doctor. People call me from all over the world who are hurting, and I care for them. Chatting is what more people want than anything.
29263	Patch Adams	When you left the house today, you had the intention of putting clothes on and you did. You didn't try to put your pants on today. You simply put them on. The same has to hold for all of our intentions. We don't try to be more loving partners. We make the intention, and we act on it.
29264	Patch Adams	Wearing underwear on the outside of your clothes can turn a tedious trip to the store for a forgotten carton of milk into an amusement park romp.
29265	Patch Adams	I'm looking for a world where love will no longer be extraordinary.
29266	Patch Adams	What I really want is a world where no one alive can remember what the word 'war' means. That's my goal.
29267	Patch Adams	I'm a clown, which could be a public health role. I'm really interested in moving our society away from a society needing Xanax and Prozac, and that is really feeling depressed, to one that is celebrating, and so I find just walking around in colorful clothes, people smile.
29268	Patch Adams	I'm great at a deathbed. I've never given tranquillisers or psychiatric medicine. I've given love and fun and creativity and passion and hope, and these things ease suffering.
29269	Patch Adams	Is letting our children watch TV a form of child abuse? If our children grow up knowing everything about Britney Spears and nothing about nature or faith, about anything, is that not a form of child abuse?
29270	Patch Adams	The medium of response in America is fame; that's how a person that bounces a ball can make millions of dollars, and a school teacher with no fame makes $35,000.
29271	Patch Adams	I entered medicine to use it as a vehicle for social change.
29272	Patch Adams	I first came to Russia because of the culture, literature and music... and my interest in the 19th-century revolutionary spirit of Herzen, Bakunin and Kropotkin. Russia is a wonderful place to bring new clowns because Russians give back a wonderful response.
29273	Patch Adams	I make me. At 18, I decided I wasn't going to have an unconstructed self ever. I was going to be the composer, the designer, the architect of me. It's been really fun.
29274	Patch Adams	I've taken clowns into the war in Bosnia, the refugee camps of Kosovo, and none of those are any more important than clowning in a subway or an elevator or just walking down the street.
29275	Patch Adams	It is inexcusable that the richest country in the world does not take care of all of its people. We don't consider ourselves idealistic; we're thoughtfully trying to make a beautiful health care model.
29276	Patch Adams	We are a breathtakingly alienated people... One of my props is the world's largest underpants. I've had the president of Costa Rica in my underpants with me.
30100	Phil Daniels	Acting is my passion, and Chelsea FC is my hobby.
30101	Phil Daniels	In my game, you get brokenhearted a bit. You do a play, get a bad review in the papers... actors are sensitive; you think of all the work you've done, and it breaks your heart, but you learn to shrug it off and to carry on.
30102	Phil Daniels	When I was a kid doing television, they'd stick a leather jacket on me, and I would be the thug.
30103	Phil Daniels	Being a part-time pop star was perfect, really, when I wasn't worn out by the partying.
30104	Phil Daniels	I like people like Robert De Niro and Anthony Hopkins. And Gianfranco Zola, who played for Chelsea and Italy. He's an artist with his feet.
30105	Phil Daniels	It was a wonderful experience to live the life for a year; to spend all day doing Shakespeare and then do a play in the evening.
30106	Phil Daniels	'Vinyl' is a good look at the music industry. The script was honest.
30107	Phil Daniels	When my daughter was born, I called her Ella Bella Mandela, because she was born the day after Mandela was released from prison.
30108	Phil Daniels	My philosophy is to enjoy yourself. Do the things you want to do, like play golf!
30109	Phil Daniels	Acting is a tough industry. There are a lot of kids out there at drama schools and not a lot of money about, especially as the arts are being cut.
30110	Phil Daniels	I don't miss 'EastEnders.' I did a two-stretch. That was enough.
30111	Phil Daniels	I grew up near King's Cross station in London, living in an apartment block where my dad was a caretaker.
30112	Phil Daniels	I think that's what keeps you grounded - having your own life that's not directed by your job.
30113	Phil Daniels	I used to go into bars on my days off, and I decided that wasn't too good for me.
30114	Phil Daniels	I'm famous for being a silky midfielder.
30115	Phil Daniels	It's great to do small plays in the theatre and then go off with Blur and play in front of thousands of people.
30116	Phil Daniels	Doing 'EastEnders' wasn't exactly suffering, but my soul's not in quick-fix TV. Theatre doesn't pay like TV work pays, though. We all have to live, don't we?
30117	Phil Daniels	I found that golf saved me from going to the pub every day, so instead, I play golf with other unemployed actors. I'm a member of the Stage Golfing Society, and I play golf with all sorts of people.
30118	Phil Daniels	I get on with actors, and when I'm doing a theatre show, it's great being with them all the time. But we're all alike, and it's much nicer being with people who are different.
30119	Phil Daniels	I had a weimaraner for 11 years called China, and he was a great dog, a bit mad. They're massive, weimaraners; they've got big floppy ears. They look like a pointer, but they're liver-coloured.
30120	Phil Daniels	It's never gone so far as me wishing I'd never done 'Quadrophenia,' but there was a time when I wouldn't talk about it because I wanted people to be interested in me for other things as well.
30121	Phil Daniels	My acting career began when I walked into a drama school class run by Anna Scher in Islington. Anna discovered a lot of people: Linda Robson, Pauline Quirke, Gary and Martin Kemp, and Dexter Fletcher were among my contemporaries.
30122	Phil Daniels	My heart's in stage. Making 'Quadrophenia' was exciting because we were riding around on scooters with no crash helmets. But 'hurry up and wait' is the anthem of films. Everybody wants you ready, and then you sit doing nothing.
30831	Randa Abdel-Fattah	We are, at almost every point of our day, immersed in cultural diversity: faces, clothes, smells, attitudes, values, traditions, behaviours, beliefs, rituals.
30832	Randa Abdel-Fattah	In a multicultural, diverse society there are countless ways in which people negotiate the everyday lived experience and reality of diversity.
30833	Randa Abdel-Fattah	It is time Australian Muslims stop being treated as negotiable citizens in their own country. It is time people stop 'tolerating' us, presuming some right to decide if we have a place in our own home.
30834	Randa Abdel-Fattah	A woman's body is her body and what she wears or does not wear is her choice. Get over it and move on.
30835	Randa Abdel-Fattah	The hijab, or sikh turban, or Jewish skullcap are all explicit symbols, but they do not represent a threat or affront to others, and have no bearing on the competence, skills and intelligence of a person.
30836	Randa Abdel-Fattah	It seems Palestinians can't win. The language of peace negotiations has always been predicated on a representation that Palestinians are violent and that is why Israel behaves as it does.
30837	Randa Abdel-Fattah	To the Muslim woman, the hijab provides a sense of empowerment. It is a personal decision to dress modestly according to the command of a genderless Creator; to assert pride in self, and embrace one's faith openly, with independence and courageous conviction.
30838	Randa Abdel-Fattah	When it comes to the hijab - why to wear it, whether to wear it, how to wear it - there is theology and then there is practice, and there is huge diversity in both.
30839	Randa Abdel-Fattah	I do most of my reading on the train ride to and from work. But I always have a book in my handbag so that I can read at any time, anywhere.
30840	Randa Abdel-Fattah	I've been writing stories since I was a kid. I love writing stories.
30841	Randa Abdel-Fattah	The easiest way for readers to connect with characters and feel sympathy is to make the character entertaining, sympathetic and likeable.
