id	author	quote
8380	Darell Hammond	No child wants to fall off a jungle gym or slide. Accidents are an unfortunate fact of life, but to lower every last slide and jungle gym to a height that would only interest a toddler is doing our children a grave disservice.
8381	Darell Hammond	During the year, our schools are busy slashing P.E. and recess to make more time for math. During the summer, we get ourselves worked into a tizzy that our children will forget their fractions.
8382	Darell Hammond	I was raised in a group home for 14 years, so I was a beneficiary of philanthropy. I didn't have a family. The nameless, faceless strangers were my family. They gave me an education, put food on the table and clothes on my back. I am who I am because of that formative experience. Now I am paying it forward.
8383	Darell Hammond	'Our Dream Playground' is a new online project planner designed to help you build the playground of your dreams. It's a free resource, brought to you 'KaBOOM!,' offering step-by-step instructions to help you bring play to the kids in your community.
8384	Darell Hammond	In neighborhoods without a usable park or playground, the incidence of childhood obesity increases by 29 percent.
8385	Darell Hammond	A cultural shift is needed to incorporate exercise into our children's daily lives.
8386	Darell Hammond	Unstructured play gives kids the space they need to tinker and take risks - both vital for the budding entrepreneur.
8387	Darell Hammond	We know when children have a place to play they live healthier, happier lives.
8388	Darell Hammond	We must make sure that there is recess and P.E. class in every school, getting kids outside for 60 minutes, every day.
8389	Darell Hammond	Given that the biggest rise in childhood obesity rates are occurring in children ages 3 to 5 years, we must modify our efforts to place an emphasis on prevention versus intervention.
8390	Darell Hammond	As I see it, the debate between summer vacation vs. year-round school glosses over the most important questions. Namely, how can we bring play back to our nation's schools?
8391	Darell Hammond	If there's one thing that 'No Child Left Behind' has proven, it's that more academics don't make for smarter children - or even higher test scores. And yet we somehow refuse to accept this reality.
8392	Darell Hammond	Kids who don't play are not just at greater risk of falling behind academically, but also of becoming overweight or obese, failing to integrate socially, and even engaging in criminal activity.
8393	Darell Hammond	Public swimming pools, recreation centers, summer reading programs, youth jobs programs - they are all shutting their doors. And they are all facilities and programs relied on most heavily by low-income children.
8394	Darell Hammond	Toddlers need to get off the soccer field and onto the playground. Children need to get out of the gym and into neighborhood stickball games. We need to give kids room to create their own rules, set their own terms, and move their bodies in their own ways.
8395	Darrell Hammond	I was diagnosed with everything from schizophrenia to multiple personality disorder.
8396	Darrell Hammond	I think I wanted to write a book about the relationship between the victim and perpetrator in which the victim agrees to remain silent.
8397	Darrell Hammond	I was never in a mental institution for a long time. I was in psych wards.
8398	Darrell Hammond	I'm not sure how a world leader reacts to the work of a clown.
8399	Darrell Hammond	Performing with anthrax in the building is not nearly as difficult as performing in a home where you might get stabbed at night.
8400	Darrell Hammond	I called my mother up and I said, 'You know, I've been to the best doctors in the world and I've spent almost half a million dollars and they're telling me I have symptoms of a P.O.W. and all I did was grow up in your home.'
8401	Darrell Hammond	When I left my parents' home when I was 19, I went to the University of Florida, and within 24 hours was in the mental health department. And within 20 minutes, I was being told by the director there that they didn't have what I needed there.
8402	Darrell Hammond	If you're injured, it changes the way you move. If you're injured, it changes the way you talk.
8403	Darrell Hammond	College kids, don't be taking examples from me.
8404	Darrell Hammond	Doctors didn't know what to do with me.
8405	Darrell Hammond	Everyone always told me that I had the symptoms of a P.O.W.
8406	Darrell Hammond	I belong to the Democratic Party.
8407	Darrell Hammond	I don't know if I want to be a big star though.
8408	Darrell Hammond	I had a dad you know.
8409	Darrell Hammond	I have to give the SNL crew props - it cannot have been easy to work with me.
8410	Darrell Hammond	I perform in the major leagues of what I do. It's incredible.
8411	Darrell Hammond	I'll get to make a lot of money and do some bad sitcoms.
8412	Darrell Hammond	I'm not a doctor - so I can't describe flashbacks well - but it is like you're living it again.
8413	Darrell Hammond	I've learned sometimes you just have to take the bad from people.
8414	Darrell Hammond	I've seen the hell these people go through.
8415	Darrell Hammond	If I can get a sanitized version of reality, I'll take it.
8416	Darrell Hammond	It's tough to play the right chord on the instrument when there's someone out there who wants to kill you.
8417	Darrell Hammond	Some of the funniest people I know are not screwed up in the head.
8418	Darrell Hammond	The danger with running for president is sooner or later some sound bite is going hit.
8419	Darrell Hammond	I ran into an extraordinary doctor. He got up inside my head and figured out how my brain processed things, what my core values were, what my inner dialogue was.
8420	Darrell Issa	You can call me a pain. I'll accept that as a compliment.
8421	Darrell Issa	Peace in Palestine is inevitable. The question is how do we make it happen today.
8422	Darrell Issa	The debate on how to shrink the federal government is at the core of our problem of government not doing its job.
8423	Darrell Issa	I've said my patience is not infinite.
8424	Darrell Issa	Some people want to amass a great amount of wealth and make a great looking obituary. I'm going to die with more money than is good to leave my son.
8425	Darrell Issa	Politics is cyclical.
8426	Darrell Issa	Cleveland's a great place when you're a kid. You hardly ever get sunburned, without the sun shining.
8427	Darrell Issa	I have an I.Q. of 100 plus a little bit. I have to work real hard to get things when I read.
8428	Darrell Issa	I've always been fond of the saying that when it comes to oversight and reform, the federal government does two things well: nothing and overreact.
