pg_id	work	corpus_line	verdict	score
39827	The Conduct of Life	30718	below-threshold	55
39827	The Conduct of Life	30719	below-threshold	54
39827	The Conduct of Life	30720	below-threshold	57
39827	The Conduct of Life	30721	below-threshold	55
39827	The Conduct of Life	30722	no-shingle-match	
39827	The Conduct of Life	30723	no-shingle-match	
39827	The Conduct of Life	30724	below-threshold	50
39827	The Conduct of Life	30725	below-threshold	63
39827	The Conduct of Life	30726	below-threshold	51
39827	The Conduct of Life	30727	no-shingle-match	
39827	The Conduct of Life	30728	below-threshold	66
39827	The Conduct of Life	30729	below-threshold	72
39827	The Conduct of Life	30730	no-shingle-match	
39827	The Conduct of Life	30731	below-threshold	60
39827	The Conduct of Life	30732	below-threshold	52
39827	The Conduct of Life	30733	no-shingle-match	
39827	The Conduct of Life	30734	located	100
39827	The Conduct of Life	30735	below-threshold	66
39827	The Conduct of Life	30736	below-threshold	52
39827	The Conduct of Life	30737	no-shingle-match	
39827	The Conduct of Life	30738	below-threshold	51
39827	The Conduct of Life	30739	below-threshold	51
39827	The Conduct of Life	30740	below-threshold	60
39827	The Conduct of Life	30741	no-shingle-match	
39827	The Conduct of Life	30742	located	100
39827	The Conduct of Life	30743	below-threshold	60
39827	The Conduct of Life	30744	no-shingle-match	
39827	The Conduct of Life	30745	located	100
39827	The Conduct of Life	30746	located	98
39827	The Conduct of Life	30747	below-threshold	57
39827	The Conduct of Life	30748	below-threshold	50
39827	The Conduct of Life	30749	below-threshold	52
39827	The Conduct of Life	30750	below-threshold	60
39827	The Conduct of Life	30751	located	97
39827	The Conduct of Life	30752	below-threshold	49
39827	The Conduct of Life	30753	below-threshold	56
39827	The Conduct of Life	30754	no-shingle-match	
39827	The Conduct of Life	30755	below-threshold	47
39827	The Conduct of Life	30756	located	99
39827	The Conduct of Life	30757	below-threshold	54
39827	The Conduct of Life	30758	below-threshold	54
39827	The Conduct of Life	30759	below-threshold	67
39827	The Conduct of Life	30760	no-shingle-match	
39827	The Conduct of Life	30761	no-shingle-match	
39827	The Conduct of Life	30762	no-shingle-match	
39827	The Conduct of Life	30763	below-threshold	51
39827	The Conduct of Life	30764	below-threshold	52
39827	The Conduct of Life	30765	below-threshold	49
39827	The Conduct of Life	30766	no-shingle-match	
39827	The Conduct of Life	30767	below-threshold	53
39827	The Conduct of Life	30768	below-threshold	51
39827	The Conduct of Life	30769	below-threshold	58
39827	The Conduct of Life	30770	below-threshold	59
39827	The Conduct of Life	30771	located	100
39827	The Conduct of Life	30772	no-shingle-match	
39827	The Conduct of Life	30773	below-threshold	51
39827	The Conduct of Life	30774	located	100
39827	The Conduct of Life	30775	below-threshold	61
39827	The Conduct of Life	30776	no-shingle-match	
39827	The Conduct of Life	30777	below-threshold	49
39827	The Conduct of Life	30778	no-shingle-match	
39827	The Conduct of Life	30779	below-threshold	51
39827	The Conduct of Life	30780	below-threshold	55
39827	The Conduct of Life	30781	no-shingle-match	
39827	The Conduct of Life	30782	below-threshold	59
39827	The Conduct of Life	30783	below-threshold	60
39827	The Conduct of Life	30784	located	93
39827	The Conduct of Life	30785	no-shingle-match	
39827	The Conduct of Life	30786	located	100
39827	The Conduct of Life	30787	located	100
39827	The Conduct of Life	30788	below-threshold	55
39827	The Conduct of Life	30789	located	100
39827	The Conduct of Life	30790	no-shingle-match	
39827	The Conduct of Life	30791	below-threshold	56
39827	The Conduct of Life	30792	no-shingle-match	
39827	The Conduct of Life	30793	below-threshold	58
39827	The Conduct of Life	30794	no-shingle-match	
39827	The Conduct of Life	30795	no-shingle-match	
39827	The Conduct of Life	30796	located	97
39827	The Conduct of Life	30797	below-threshold	56
39827	The Conduct of Life	30798	below-threshold	49
39827	The Conduct of Life	30799	below-threshold	56
39827	The Conduct of Life	30800	below-threshold	55
39827	The Conduct of Life	30801	below-threshold	48
39827	The Conduct of Life	30802	below-threshold	58
39827	The Conduct of Life	30803	below-threshold	56
26107	Maxims for Revolutionists	13283	no-shingle-match	
26107	Maxims for Revolutionists	13284	no-shingle-match	
26107	Maxims for Revolutionists	13285	located	93
26107	Maxims for Revolutionists	13286	no-shingle-match	
26107	Maxims for Revolutionists	13287	no-shingle-match	
26107	Maxims for Revolutionists	13288	below-threshold	55
26107	Maxims for Revolutionists	13289	no-shingle-match	
26107	Maxims for Revolutionists	13290	below-threshold	53
26107	Maxims for Revolutionists	13291	no-shingle-match	
26107	Maxims for Revolutionists	13292	no-shingle-match	
26107	Maxims for Revolutionists	13293	no-shingle-match	
26107	Maxims for Revolutionists	13294	no-shingle-match	
26107	Maxims for Revolutionists	13295	no-shingle-match	
26107	Maxims for Revolutionists	13296	located	100
26107	Maxims for Revolutionists	13297	no-shingle-match	
26107	Maxims for Revolutionists	13298	no-shingle-match	
26107	Maxims for Revolutionists	13299	no-shingle-match	
26107	Maxims for Revolutionists	13300	no-shingle-match	
26107	Maxims for Revolutionists	13301	located	100
26107	Maxims for Revolutionists	13302	no-shingle-match	
26107	Maxims for Revolutionists	13303	located	100
26107	Maxims for Revolutionists	13304	no-shingle-match	
26107	Maxims for Revolutionists	13305	no-shingle-match	
26107	Maxims for Revolutionists	13306	below-threshold	61
26107	Maxims for Revolutionists	13307	below-threshold	49
26107	Maxims for Revolutionists	13308	no-shingle-match	
26107	Maxims for Revolutionists	13309	no-shingle-match	
26107	Maxims for Revolutionists	13310	no-shingle-match	
26107	Maxims for Revolutionists	13311	located	100
26107	Maxims for Revolutionists	13312	no-shingle-match	
26107	Maxims for Revolutionists	13313	located	100
26107	Maxims for Revolutionists	13314	no-shingle-match	
26107	Maxims for Revolutionists	13315	no-shingle-match	
26107	Maxims for Revolutionists	13316	no-shingle-match	
26107	Maxims for Revolutionists	13317	no-shingle-match	
26107	Maxims for Revolutionists	13318	no-shingle-match	
26107	Maxims for Revolutionists	13319	no-shingle-match	
26107	Maxims for Revolutionists	13320	no-shingle-match	
26107	Maxims for Revolutionists	13321	below-threshold	57
26107	Maxims for Revolutionists	13322	located	100
26107	Maxims for Revolutionists	13323	located	100
26107	Maxims for Revolutionists	13324	no-shingle-match	
26107	Maxims for Revolutionists	13325	no-shingle-match	
26107	Maxims for Revolutionists	13326	below-threshold	60
26107	Maxims for Revolutionists	13327	no-shingle-match	
26107	Maxims for Revolutionists	13328	located	100
26107	Maxims for Revolutionists	13329	below-threshold	54
26107	Maxims for Revolutionists	13330	located	100
26107	Maxims for Revolutionists	13331	no-shingle-match	
26107	Maxims for Revolutionists	13332	no-shingle-match	
26107	Maxims for Revolutionists	13333	no-shingle-match	
26107	Maxims for Revolutionists	13334	no-shingle-match	
26107	Maxims for Revolutionists	13335	located	100
26107	Maxims for Revolutionists	13336	located	100
26107	Maxims for Revolutionists	13337	below-threshold	52
26107	Maxims for Revolutionists	13338	no-shingle-match	
26107	Maxims for Revolutionists	13339	located	100
26107	Maxims for Revolutionists	13340	no-shingle-match	
26107	Maxims for Revolutionists	13341	no-shingle-match	
26107	Maxims for Revolutionists	13342	located	100
26107	Maxims for Revolutionists	13343	located	100
26107	Maxims for Revolutionists	13344	no-shingle-match	
26107	Maxims for Revolutionists	13345	no-shingle-match	
26107	Maxims for Revolutionists	13346	below-threshold	53
26107	Maxims for Revolutionists	13347	no-shingle-match	
26107	Maxims for Revolutionists	13348	no-shingle-match	
3825	Pygmalion	13283	no-shingle-match	
3825	Pygmalion	13284	no-shingle-match	
3825	Pygmalion	13285	no-shingle-match	
3825	Pygmalion	13286	no-shingle-match	
3825	Pygmalion	13287	no-shingle-match	
3825	Pygmalion	13288	no-shingle-match	
3825	Pygmalion	13289	below-threshold	49
3825	Pygmalion	13290	below-threshold	52
3825	Pygmalion	13291	no-shingle-match	
3825	Pygmalion	13292	no-shingle-match	
3825	Pygmalion	13293	below-threshold	60
3825	Pygmalion	13294	no-shingle-match	
3825	Pygmalion	13295	below-threshold	50
3825	Pygmalion	13296	no-shingle-match	
3825	Pygmalion	13297	no-shingle-match	
3825	Pygmalion	13298	no-shingle-match	
3825	Pygmalion	13299	no-shingle-match	
3825	Pygmalion	13300	no-shingle-match	
3825	Pygmalion	13301	below-threshold	52
3825	Pygmalion	13302	below-threshold	50
3825	Pygmalion	13303	below-threshold	61
3825	Pygmalion	13304	below-threshold	51
3825	Pygmalion	13305	no-shingle-match	
3825	Pygmalion	13306	no-shingle-match	
