pg_id	work	corpus_line	verdict	score
2880	A Blot in the 'Scutcheon	31604	no-shingle-match	
2880	A Blot in the 'Scutcheon	31605	below-threshold	52
2880	A Blot in the 'Scutcheon	31606	no-shingle-match	
2880	A Blot in the 'Scutcheon	31607	below-threshold	64
2880	A Blot in the 'Scutcheon	31608	no-shingle-match	
2880	A Blot in the 'Scutcheon	31609	below-threshold	60
2880	A Blot in the 'Scutcheon	31610	no-shingle-match	
2880	A Blot in the 'Scutcheon	31611	no-shingle-match	
2880	A Blot in the 'Scutcheon	31612	no-shingle-match	
2880	A Blot in the 'Scutcheon	31613	no-shingle-match	
2880	A Blot in the 'Scutcheon	31614	no-shingle-match	
2880	A Blot in the 'Scutcheon	31615	below-threshold	56
2880	A Blot in the 'Scutcheon	31616	no-shingle-match	
2880	A Blot in the 'Scutcheon	31617	no-shingle-match	
2880	A Blot in the 'Scutcheon	31618	no-shingle-match	
2880	A Blot in the 'Scutcheon	31619	no-shingle-match	
2880	A Blot in the 'Scutcheon	31620	no-shingle-match	
2880	A Blot in the 'Scutcheon	31621	no-shingle-match	
2880	A Blot in the 'Scutcheon	31622	below-threshold	47
2880	A Blot in the 'Scutcheon	31623	no-shingle-match	
2880	A Blot in the 'Scutcheon	31624	no-shingle-match	
2880	A Blot in the 'Scutcheon	31625	no-shingle-match	
2880	A Blot in the 'Scutcheon	31626	no-shingle-match	
2880	A Blot in the 'Scutcheon	31627	no-shingle-match	
2880	A Blot in the 'Scutcheon	31628	no-shingle-match	
2880	A Blot in the 'Scutcheon	31629	below-threshold	55
2880	A Blot in the 'Scutcheon	31630	no-shingle-match	
2880	A Blot in the 'Scutcheon	31631	no-shingle-match	
2880	A Blot in the 'Scutcheon	31632	no-shingle-match	
2880	A Blot in the 'Scutcheon	31633	no-shingle-match	
2880	A Blot in the 'Scutcheon	31634	no-shingle-match	
2880	A Blot in the 'Scutcheon	31635	no-shingle-match	
