author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
A. A. Milne	1872	The Red House Mystery	The-Red-House-Mystery_1872	fetched		374125	ee1ab93b8cde3bd5ab404eee337b8f96ac1163a39a3b7d18566c75c3b0e03a7a	1872-0.txt
A. A. Milne	5675	The Holiday Round	The-Holiday-Round_5675	fetched		398557	a75dd45aa8eb3ca78aaf1e97d00a0f130c9d3863fb3549ac36dd2dcd44287949	5675.txt
A. A. Milne	5803	Not that it Matters	Not-that-it-Matters_5803	fetched		281387	945884e9c1b817aeb821edfff63451676b5d2ffaae3041b88369914aad7a5712	5803.txt
A. A. Milne	6992	Belinda: An April Folly in Three Acts	Belinda-An-April-Folly-in-Three-Acts_6992	unavailable				
A. A. Milne	7310	Mr. Pim Passes By: A Comedy in Three Acts	Mr-Pim-Passes-By-A-Comedy-in-Three-Acts_7310	fetched		156435	7b85c33ad0ae570d824be2ecae14b2f32e021468cdb7fa6b7f3d2dc5d79d3683	7310.txt
A. A. Milne	7365	If I May	If-I-May_7365	fetched		276267	2ac6e1e564e0b10cf2d25641fecf1629e3676159bb207e05a4fda9780b8e18b4	7365-8.txt
A. A. Milne	7805	First Plays	First-Plays_7805	fetched		338433	f9b445a2cc647634fdc89c94c0c2192a9fa170bf2675e44fc0c76db54b897d8b	7805-8.txt
A. A. Milne	13441	The Sunny Side	The-Sunny-Side_13441	fetched		386880	983f5b0ace61ce87b0b517b3ccfdceffbcaa163d00c6432e617714ac1e30553c	13441-8.txt
A. A. Milne	14734	Second Plays	Second-Plays_14734	fetched		408501	2fece2af1a3c7f7d2a99fbb005beee406b12ad0721a563b60c8db8cf911f86e8	14734-8.txt
A. A. Milne	24313	Once a Week	Once-a-Week_24313	fetched		452699	7399a7d9f9a7cdd88d37b9f3bbd71c10944a475811fba57a45b8ae5884467800	24313-8.txt
A. A. Milne	26098	Happy Days	Happy-Days_26098	fetched		429419	2a5a67de5e84b9171dd9ac300a400b7b9a811992751aebcc16b7880d215d9bcd	26098-8.txt
A. A. Milne	26470	The Red House Mystery	The-Red-House-Mystery_26470	unavailable				
